Evening_class,Mothers_occupation,Fathers_occupation,Debtor,Gender,Scholarship_holder,Age_at_enrollment,Class,Smt_1_passed,Smt_2_passed,Status
Ada kelas,5.0,9.0,Belum Lunas,Perempuan,Mandiri,20,Regular,0,0,Dropout
Ada kelas,3.0,3.0,Belum Lunas,Perempuan,Mandiri,19,Regular,6,6,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Perempuan,Mandiri,19,Regular,0,0,Dropout
Ada kelas,5.0,3.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,6,5,Graduate
Tidak ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,5,6,Graduate
Tidak ada kelas,9.0,7.0,Lunas,Perempuan,Mandiri,34,Regular,5,5,Graduate
Ada kelas,7.0,10.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,7,8,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Perempuan,Mandiri,22,Regular,0,0,Dropout
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,21,Internasional,6,6,Graduate
Ada kelas,4.0,7.0,Lunas,Laki-laki,Mandiri,18,Regular,5,2,Dropout
Ada kelas,5.0,7.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,5,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,7,7,Graduate
Ada kelas,4.0,9.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,0,0,Dropout
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Beasiswa,21,Regular,6,5,Graduate
Ada kelas,5.0,5.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,4,5,Graduate
Ada kelas,9.0,3.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,5,0,Dropout
Ada kelas,5.0,8.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,1,2,Enrolled
Ada kelas,5.0,4.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,7,8,Graduate
